id,agent_past_pos,robot_past_pos,predicted_target_pos
163,"[[10.62, 10.45, 10.22, 9.97, 9.71, 9.51, 9.3, 9.04, 8.86, 8.67], [4.77, 4.77, 4.78, 4.78, 4.81, 4.81, 4.81, 4.82, 4.82, 4.82]]","[[11.884825486092295, 12.027365518281677, 12.135190788978061, 12.205107743417178, 12.234178047077327, 12.226257140109448, 12.183267323306609, 12.110105691757424, 12.011683365537836, 11.892875004260574], [4.341074583847368, 4.450994278276756, 4.595125159767336, 4.760991429641468, 4.938628468135997, 5.118454103774541, 5.29324505219939, 5.457705915838924, 5.60841439503477, 5.74363485683923]]","[6.526047993152176, 4.69720832218652]"
164,"[[10.45, 10.22, 9.97, 9.71, 9.51, 9.3, 9.04, 8.86, 8.67, 8.39], [4.77, 4.78, 4.78, 4.81, 4.81, 4.81, 4.82, 4.82, 4.82, 4.82]]","[[12.027365518281677, 12.135190788978061, 12.205107743417178, 12.234178047077327, 12.226257140109448, 12.183267323306609, 12.110105691757424, 12.011683365537836, 11.892875004260574, 11.758123399099823], [4.450994278276756, 4.595125159767336, 4.760991429641468, 4.938628468135997, 5.118454103774541, 5.29324505219939, 5.457705915838924, 5.60841439503477, 5.74363485683923, 5.862974728242717]]","[6.350431443533417, 4.739317501680217]"
165,"[[10.22, 9.97, 9.71, 9.51, 9.3, 9.04, 8.86, 8.67, 8.39, 8.19], [4.78, 4.78, 4.81, 4.81, 4.81, 4.82, 4.82, 4.82, 4.82, 4.82]]","[[12.135190788978061, 12.205107743417178, 12.234178047077327, 12.226257140109448, 12.183267323306609, 12.110105691757424, 12.011683365537836, 11.892875004260574, 11.758123399099823, 11.610923193756978], [4.595125159767336, 4.760991429641468, 4.938628468135997, 5.118454103774541, 5.29324505219939, 5.457705915838924, 5.60841439503477, 5.74363485683923, 5.862974728242717, 5.966570575394157]]","[6.16463365441982, 4.717780668892387]"
166,"[[9.97, 9.71, 9.51, 9.3, 9.04, 8.86, 8.67, 8.39, 8.19, 8.07], [4.78, 4.81, 4.81, 4.81, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82]]","[[12.205107743417178, 12.234178047077327, 12.226257140109448, 12.183267323306609, 12.110105691757424, 12.011683365537836, 11.892875004260574, 11.758123399099823, 11.610923193756978, 11.454059683472122], [4.760991429641468, 4.938628468135997, 5.118454103774541, 5.29324505219939, 5.457705915838924, 5.60841439503477, 5.74363485683923, 5.862974728242717, 5.966570575394157, 6.054853298172245]]","[6.054836355835404, 4.694295742019901]"
167,"[[9.71, 9.51, 9.3, 9.04, 8.86, 8.67, 8.39, 8.19, 8.07, 7.96], [4.81, 4.81, 4.81, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82]]","[[12.234178047077327, 12.226257140109448, 12.183267323306609, 12.110105691757424, 12.011683365537836, 11.892875004260574, 11.758123399099823, 11.610923193756978, 11.454059683472122, 11.289812536593729], [4.938628468135997, 5.118454103774541, 5.29324505219939, 5.457705915838924, 5.60841439503477, 5.74363485683923, 5.862974728242717, 5.966570575394157, 6.054853298172245, 6.128493468882986]]","[6.056189508792215, 4.675180475833365]"
168,"[[9.51, 9.3, 9.04, 8.86, 8.67, 8.39, 8.19, 8.07, 7.96, 7.81], [4.81, 4.81, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82]]","[[12.226257140109448, 12.183267323306609, 12.110105691757424, 12.011683365537836, 11.892875004260574, 11.758123399099823, 11.610923193756978, 11.454059683472122, 11.289812536593729, 11.120020837826223], [5.118454103774541, 5.29324505219939, 5.457705915838924, 5.60841439503477, 5.74363485683923, 5.862974728242717, 5.966570575394157, 6.054853298172245, 6.128493468882986, 6.188249464646127]]","[6.0710086536831565, 4.6851853090675135]"
169,"[[9.3, 9.04, 8.86, 8.67, 8.39, 8.19, 8.07, 7.96, 7.81, 7.62], [4.81, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82]]","[[12.183267323306609, 12.110105691757424, 12.011683365537836, 11.892875004260574, 11.758123399099823, 11.610923193756978, 11.454059683472122, 11.289812536593729, 11.120020837826223, 10.946213555334191], [5.29324505219939, 5.457705915838924, 5.60841439503477, 5.74363485683923, 5.862974728242717, 5.966570575394157, 6.054853298172245, 6.128493468882986, 6.188249464646127, 6.235057888596684]]","[5.992044758794885, 4.708396492570072]"
170,"[[9.04, 8.86, 8.67, 8.39, 8.19, 8.07, 7.96, 7.81, 7.62, 7.43], [4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82]]","[[12.110105691757424, 12.011683365537836, 11.892875004260574, 11.758123399099823, 11.610923193756978, 11.454059683472122, 11.289812536593729, 11.120020837826223, 10.946213555334191, 10.769647031714268], [5.457705915838924, 5.60841439503477, 5.74363485683923, 5.862974728242717, 5.966570575394157, 6.054853298172245, 6.128493468882986, 6.188249464646127, 6.235057888596684, 6.270047354679708]]","[5.8716715869205665, 4.753773140888814]"
171,"[[8.86, 8.67, 8.39, 8.19, 8.07, 7.96, 7.81, 7.62, 7.43, 7.23], [4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.81]]","[[12.011683365537836, 11.892875004260574, 11.758123399099823, 11.610923193756978, 11.454059683472122, 11.289812536593729, 11.120020837826223, 10.946213555334191, 10.769647031714268, 10.59131227794946], [5.60841439503477, 5.74363485683923, 5.862974728242717, 5.966570575394157, 6.054853298172245, 6.128493468882986, 6.188249464646127, 6.235057888596684, 6.270047354679708, 6.294475117566334]]","[5.696205485499508, 4.828727761151539]"
172,"[[8.67, 8.39, 8.19, 8.07, 7.96, 7.81, 7.62, 7.43, 7.23, 7.0], [4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.81, 4.81]]","[[11.892875004260574, 11.758123399099823, 11.610923193756978, 11.454059683472122, 11.289812536593729, 11.120020837826223, 10.946213555334191, 10.769647031714268, 10.59131227794946, 10.411960335927972], [5.74363485683923, 5.862974728242717, 5.966570575394157, 6.054853298172245, 6.128493468882986, 6.188249464646127, 6.235057888596684, 6.270047354679708, 6.294475117566334, 6.309735553114535]]","[5.398889752584466, 4.863767640440585]"
173,"[[8.39, 8.19, 8.07, 7.96, 7.81, 7.62, 7.43, 7.23, 7.0, 6.84], [4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.81, 4.81, 4.81]]","[[11.758123399099823, 11.610923193756978, 11.454059683472122, 11.289812536593729, 11.120020837826223, 10.946213555334191, 10.769647031714268, 10.59131227794946, 10.411960335927972, 10.23211159105637], [5.862974728242717, 5.966570575394157, 6.054853298172245, 6.128493468882986, 6.188249464646127, 6.235057888596684, 6.270047354679708, 6.294475117566334, 6.309735553114535, 6.3171131521893855]]","[5.118799346641087, 4.805334320707452]"
174,"[[8.19, 8.07, 7.96, 7.81, 7.62, 7.43, 7.23, 7.0, 6.84, 6.67], [4.82, 4.82, 4.82, 4.82, 4.82, 4.82, 4.81, 4.81, 4.81, 4.81]]","[[11.610923193756978, 11.454059683472122, 11.289812536593729, 11.120020837826223, 10.946213555334191, 10.769647031714268, 10.59131227794946, 10.411960335927972, 10.23211159105637, 10.052111816420487], [5.966570575394157, 6.054853298172245, 6.128493468882986, 6.188249464646127, 6.235057888596684, 6.270047354679708, 6.294475117566334, 6.309735553114535, 6.3171131521893855, 6.317397987284839]]","[4.868576717390946, 4.804301058688343]"
175,"[[8.07, 7.96, 7.81, 7.62, 7.43, 7.23, 7.0, 6.84, 6.67, 6.51], [4.82, 4.82, 4.82, 4.82, 4.82, 4.81, 4.81, 4.81, 4.81, 4.81]]","[[11.454059683472122, 11.289812536593729, 11.120020837826223, 10.946213555334191, 10.769647031714268, 10.59131227794946, 10.411960335927972, 10.23211159105637, 10.052111816420487, 9.872207979574412], [6.054853298172245, 6.128493468882986, 6.188249464646127, 6.235057888596684, 6.270047354679708, 6.294475117566334, 6.309735553114535, 6.3171131521893855, 6.317397987284839, 6.311515004362775]]","[4.685865263357371, 4.83588793965788]"
